xRaw, yRaw, xFiltered, yFiltered
512.00, 504.00, 512.70, 502.90
514.00, 502.00, 513.00, 502.70
513.00, 503.00, 512.90, 502.70
510.00, 506.00, 512.80, 502.80
512.00, 503.00, 511.50, 502.20
513.00, 503.00, 511.60, 503.90
514.00, 504.00, 513.20, 503.50
516.00, 503.00, 513.70, 502.90
514.00, 503.00, 518.50, 502.70
514.00, 502.00, 512.70, 502.90
510.00, 503.00, 518.00, 502.70
516.00, 503.00, 514.80, 502.80
508.00, 503.00, 514.40, 502.40
512.00, 502.00, 519.00, 501.40
512.00, 501.00, 513.80, 502.70
512.00, 502.00, 513.10, 501.70
514.00, 502.00, 513.70, 505.00
514.00, 503.00, 516.00, 503.00
512.00, 503.00, 513.40, 504.00
516.00, 502.00, 513.00, 502.30
516.00, 504.00, 513.70, 503.00
514.00, 503.00, 514.20, 502.40
509.00, 503.00, 512.00, 504.90
513.00, 503.00, 514.00, 503.70
513.00, 501.00, 511.10, 498.90
513.00, 356.00, 513.30, 359.40
513.00, 264.00, 513.30, 264.90
514.00, 265.00, 513.00, 264.90
514.00, 265.00, 514.10, 264.90
514.00, 266.00, 512.40, 264.80
513.00, 265.00, 514.00, 264.90
514.00, 265.00, 512.70, 265.10
514.00, 265.00, 513.80, 264.60
512.00, 265.00, 513.30, 265.20
513.00, 265.00, 513.00, 264.80
514.00, 264.00, 513.60, 265.00
513.00, 265.00, 512.70, 265.00
514.00, 264.00, 513.20, 264.80
513.00, 265.00, 511.10, 264.20
511.00, 265.00, 515.60, 265.00
511.00, 264.00, 513.00, 265.30
514.00, 265.00, 513.70, 265.10
512.00, 264.00, 513.10, 264.70
515.00, 265.00, 513.80, 265.20
512.00, 265.00, 511.90, 265.20
514.00, 265.00, 513.90, 265.00
514.00, 377.00, 512.60, 367.30
532.00, 503.00, 516.10, 502.60
497.00, 503.00, 510.90, 501.30
516.00, 503.00, 514.90, 502.50
517.00, 504.00, 512.70, 503.00
507.00, 503.00, 512.70, 502.80
514.00, 502.00, 513.30, 503.10
514.00, 503.00, 510.10, 504.50
514.00, 559.00, 515.30, 558.10
514.00, 752.00, 513.90, 734.90
508.00, 759.00, 506.50, 758.50
515.00, 760.00, 511.20, 758.50
511.00, 759.00, 513.20, 758.80
