xRaw, yRaw, xFiltered, yFiltered
503.00, 502.00, 503.00, 502.00
519.00, 502.00, 504.60, 502.00
516.00, 503.00, 505.74, 502.10
512.00, 501.00, 506.37, 501.99
510.00, 502.00, 506.73, 501.99
508.00, 502.00, 506.86, 501.99
516.00, 504.00, 507.77, 502.19
515.00, 504.00, 508.49, 502.37
517.00, 504.00, 509.34, 502.54
517.00, 504.00, 510.11, 502.68
516.00, 504.00, 510.70, 502.81
522.00, 503.00, 511.83, 502.83
520.00, 502.00, 512.65, 502.75
516.00, 502.00, 512.98, 502.67
513.00, 503.00, 512.98, 502.71
507.00, 502.00, 512.39, 502.64
518.00, 503.00, 512.95, 502.67
516.00, 504.00, 513.25, 502.81
517.00, 503.00, 513.63, 502.82
516.00, 502.00, 513.86, 502.74
512.00, 502.00, 513.68, 502.67
510.00, 503.00, 513.31, 502.70
517.00, 503.00, 513.68, 502.73
515.00, 503.00, 513.81, 502.76
510.00, 504.00, 513.43, 502.88
512.00, 503.00, 513.29, 502.89
656.00, 502.00, 527.56, 502.80
768.00, 503.00, 551.60, 502.82
769.00, 502.00, 573.34, 502.74
768.00, 503.00, 592.81, 502.77
767.00, 503.00, 610.23, 502.79
768.00, 503.00, 626.00, 502.81
768.00, 503.00, 640.20, 502.83
768.00, 504.00, 652.98, 502.95
768.00, 502.00, 664.49, 502.85
772.00, 503.00, 675.24, 502.87
765.00, 503.00, 684.21, 502.88
767.00, 503.00, 692.49, 502.89
767.00, 503.00, 699.94, 502.90
768.00, 502.00, 706.75, 502.81
777.00, 503.00, 713.77, 502.83
764.00, 503.00, 718.80, 502.85
769.00, 504.00, 723.82, 502.96
765.00, 502.00, 727.93, 502.87
767.00, 504.00, 731.84, 502.98
772.00, 503.00, 735.86, 502.98
770.00, 502.00, 739.27, 502.88
767.00, 504.00, 742.04, 503.00
748.00, 503.00, 742.64, 503.00
698.00, 504.00, 738.18, 503.10
528.00, 503.00, 717.16, 503.09
515.00, 502.00, 696.94, 502.98
517.00, 504.00, 678.95, 503.08
512.00, 502.00, 662.25, 502.97
523.00, 504.00, 648.33, 503.08
514.00, 502.00, 634.90, 502.97
515.00, 503.00, 622.91, 502.97
488.00, 502.00, 609.42, 502.87
515.00, 504.00, 599.97, 502.99
510.00, 503.00, 590.98, 502.99
