xRaw, yRaw, xFiltered, yFiltered
527.00, 502.00, 514.80, 502.20
527.00, 502.00, 566.18, 552.42
527.00, 502.00, 571.22, 557.44
527.00, 502.00, 571.52, 557.94
527.00, 502.00, 571.45, 558.29
513.00, 503.00, 570.05, 558.43
513.00, 503.00, 570.60, 558.44
513.00, 503.00, 570.46, 558.64
513.00, 503.00, 571.25, 558.76
513.00, 503.00, 571.12, 558.68
513.00, 503.00, 570.21, 558.67
513.00, 503.00, 570.12, 558.67
513.00, 503.00, 570.01, 558.77
513.00, 503.00, 570.00, 558.88
513.00, 503.00, 569.90, 558.89
513.00, 503.00, 569.89, 558.89
513.00, 503.00, 569.89, 558.79
513.00, 503.00, 570.09, 558.78
513.00, 503.00, 570.11, 558.78
513.00, 503.00, 570.11, 558.78
513.00, 503.00, 570.01, 558.78
513.00, 503.00, 570.00, 558.78
513.00, 503.00, 570.10, 558.78
513.00, 503.00, 570.11, 558.78
513.00, 503.00, 570.21, 558.78
513.00, 502.00, 570.22, 558.68
513.00, 502.00, 570.22, 558.87
513.00, 502.00, 570.22, 558.89
513.00, 502.00, 570.62, 558.79
513.00, 502.00, 585.36, 558.78
513.00, 502.00, 612.34, 558.78
513.00, 502.00, 640.53, 558.78
513.00, 502.00, 668.95, 558.78
513.00, 502.00, 697.20, 558.78
513.00, 502.00, 725.52, 558.78
768.00, 503.00, 753.85, 558.88
768.00, 503.00, 782.19, 558.89
768.00, 503.00, 810.42, 558.89
768.00, 503.00, 838.34, 558.99
768.00, 503.00, 851.93, 559.00
768.00, 503.00, 853.39, 559.00
768.00, 503.00, 853.54, 559.00
768.00, 503.00, 853.35, 559.10
768.00, 503.00, 853.44, 559.11
768.00, 503.00, 853.54, 559.11
768.00, 503.00, 853.55, 559.11
768.00, 503.00, 853.46, 559.01
768.00, 503.00, 853.45, 559.00
768.00, 503.00, 853.44, 559.00
768.00, 503.00, 853.44, 559.00
768.00, 503.00, 853.44, 559.10
768.00, 503.00, 853.44, 559.21
768.00, 503.00, 853.44, 559.12
768.00, 503.00, 853.44, 559.11
